species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
Adelie,Dream,36.5,18.0,181.48439500499245,3193.0579075189853,FEMALE
Adelie,Dream,40.8,18.4,193.99533788993517,3860.6573803493757,MALE
Adelie,Dream,36.0,18.5,186.27298117548128,3140.622757135632,FEMALE
Adelie,Dream,44.1,19.7,194.29366323231483,4354.153769545175,MALE
Adelie,Dream,37.0,16.9,183.7267399004691,2967.1047267955764,FEMALE
Adelie,Dream,39.6,18.8,190.12375313905815,4612.506449463175,MALE
Adelie,Dream,41.1,19.0,182.17752321866286,3500.1890689800402,MALE
Adelie,Dream,37.5,18.9,179.83213449386957,2893.4708199459433,
Adelie,Dream,36.0,17.9,190.66861410475153,3450.9324355955273,FEMALE
Adelie,Dream,42.3,21.2,189.23814358368043,4197.817242888776,MALE
Adelie,Biscoe,39.6,17.7,187.01549759922352,3457.6850780580316,FEMALE
Adelie,Biscoe,40.1,18.9,187.47258942692665,4299.0451437688625,MALE
Adelie,Biscoe,35.0,17.9,188.57987813843832,3485.2661460451072,FEMALE
Adelie,Biscoe,42.0,19.5,199.7928003962753,4042.681193918487,MALE
Adelie,Biscoe,34.5,18.1,187.57942766842555,2908.8937001272157,FEMALE
Adelie,Biscoe,41.4,18.6,189.97925569276947,3766.730302296287,MALE
Adelie,Biscoe,39.0,17.5,185.35555147223997,3468.002972188077,FEMALE
Adelie,Biscoe,40.6,18.8,194.08879347963153,3822.1154928311053,MALE
Adelie,Biscoe,36.5,16.6,181.1000830411123,2722.752642426369,FEMALE
Adelie,Biscoe,37.6,19.1,193.44625512311634,3769.9898962718817,MALE
Adelie,Biscoe,35.7,16.9,183.79992463636717,3098.987633643643,FEMALE
Adelie,Biscoe,41.3,21.1,193.61102558111236,4446.655620545326,MALE
Adelie,Biscoe,37.6,17.0,184.66480699665814,3513.2209286513153,FEMALE
Adelie,Biscoe,41.1,18.2,192.75252115723382,4027.8672171709463,MALE
Adelie,Biscoe,36.4,17.1,185.87276935379145,2850.920794675724,FEMALE
Adelie,Biscoe,41.6,18.0,190.81939990955865,3946.592230936196,MALE
Adelie,Biscoe,35.5,16.2,196.7581546141798,3373.6181621861338,FEMALE
Adelie,Biscoe,41.1,19.1,187.12006155589114,4086.032481684013,MALE
Adelie,Torgersen,35.9,16.6,190.5389679086243,3058.7517041082283,FEMALE
Adelie,Torgersen,41.8,19.4,198.81186231276004,4417.221226386049,MALE
Adelie,Torgersen,33.5,19.0,191.82336995150192,3613.2195853282014,FEMALE
Adelie,Torgersen,39.7,18.4,190.75643683197603,3934.9653365524514,MALE
Adelie,Torgersen,39.6,17.2,195.43289179890232,3560.917346698897,FEMALE
Adelie,Torgersen,45.8,18.9,197.17907323176325,4130.196696284447,MALE
Adelie,Torgersen,35.5,17.5,190.52079708973918,3713.6579870708106,FEMALE
Adelie,Torgersen,42.8,18.5,195.81325401106068,4249.203975823016,MALE
Adelie,Torgersen,40.9,16.8,190.82998497153628,3650.843550506946,FEMALE
Adelie,Torgersen,37.2,19.4,184.04946799926162,3869.191178209009,MALE
Adelie,Torgersen,36.2,16.1,188.18659183920343,3512.2808477432022,FEMALE
Adelie,Torgersen,42.1,19.1,197.58639635820347,4026.886765079511,MALE
Adelie,Torgersen,34.6,17.2,188.5537285504163,3072.158577204831,FEMALE
Adelie,Torgersen,42.9,17.6,195.905889742048,4656.215553167395,MALE
Adelie,Torgersen,36.7,18.8,187.28480640662488,3849.263366709095,FEMALE
Adelie,Torgersen,35.1,19.4,192.88090538798167,4164.852847422892,MALE
Adelie,Dream,37.3,17.8,190.12876665390078,3327.940340953061,FEMALE
Adelie,Dream,41.3,20.3,195.57154254989956,3538.760210244315,MALE
Adelie,Dream,36.3,19.5,190.1870775035743,3870.689167219967,MALE
Adelie,Dream,36.9,18.6,187.66080861332182,3484.0095147505945,FEMALE
Adelie,Dream,38.3,19.2,190.18790141474872,3979.444268691253,MALE
Adelie,Dream,38.9,18.8,189.80064962455873,3631.3605260026584,FEMALE
Adelie,Dream,35.7,18.0,200.87284585173427,3591.981864681664,FEMALE
Adelie,Dream,41.1,18.1,206.3426919104474,4297.395234604873,MALE
Adelie,Dream,34.0,17.1,184.79506577142627,3284.952685840659,FEMALE
Adelie,Dream,39.6,18.1,186.8473479014597,4487.921814970149,MALE
Adelie,Dream,36.2,17.3,188.1555705443578,3318.312203061054,FEMALE
Adelie,Dream,40.8,18.9,209.39124283390532,4312.876204651217,MALE
Adelie,Dream,38.1,18.6,190.28625174988372,3711.8769640147784,FEMALE
Adelie,Dream,40.3,18.5,196.40203492986913,4384.491463210923,MALE
Adelie,Dream,33.1,16.1,178.30475337189188,2971.2841506043706,FEMALE
Adelie,Dream,43.2,18.5,191.90158615839934,4192.155130130137,MALE
Adelie,Biscoe,35.0,17.9,191.1568185207696,3693.04431284613,FEMALE
Adelie,Biscoe,41.0,20.0,202.1548975264742,4734.8638223449025,MALE
Adelie,Biscoe,37.7,16.0,181.90626937995933,2994.557674492769,FEMALE
Adelie,Biscoe,37.8,20.0,189.65345108122943,4234.925237432844,MALE
Adelie,Biscoe,37.9,18.6,194.93169025374868,2990.5902591681024,FEMALE
Adelie,Biscoe,39.7,18.9,183.5019838915332,3454.1569207459424,MALE
Adelie,Biscoe,38.6,17.2,197.7695195312135,3731.459634531492,FEMALE
Adelie,Biscoe,38.2,20.0,189.23464339952397,3979.2256212787006,MALE
Adelie,Biscoe,38.1,17.0,181.79913514225535,3112.133111961483,FEMALE
Adelie,Biscoe,43.2,19.0,196.00315744051647,4764.406673628902,MALE
Adelie,Biscoe,38.1,16.5,198.87831264293922,3894.106917521902,FEMALE
Adelie,Biscoe,45.6,20.3,192.29772583353557,4615.095022191548,MALE
Adelie,Biscoe,39.7,17.7,193.6820033757585,3145.680985809653,FEMALE
Adelie,Biscoe,42.2,19.5,197.41500689343243,4224.155073060715,MALE
Adelie,Biscoe,39.6,20.7,191.22657728167897,3917.854253033249,FEMALE
Adelie,Biscoe,42.7,18.3,195.95201240952701,4104.270427382827,MALE
Adelie,Torgersen,38.6,17.0,187.2840247510544,2939.070337558772,FEMALE
Adelie,Torgersen,37.3,20.5,199.65356740970807,3748.864252390727,MALE
Adelie,Torgersen,35.7,17.0,188.14211024941426,3310.6913660557,FEMALE
Adelie,Torgersen,41.1,18.6,188.1967430243749,3314.8264110016166,MALE
Adelie,Torgersen,36.2,17.2,188.34735430095282,3144.9572788139367,FEMALE
Adelie,Torgersen,37.7,19.8,197.35802566755535,3481.4368227549335,MALE
Adelie,Torgersen,40.2,17.0,178.24337214354287,3459.4688188223636,FEMALE
Adelie,Torgersen,41.4,18.5,202.65697962200096,3845.900142156397,MALE
Adelie,Torgersen,35.2,15.9,187.10053181870046,2956.972274032882,FEMALE
Adelie,Torgersen,40.6,19.0,198.37595068120166,3977.562028642322,MALE
Adelie,Torgersen,38.8,17.6,190.5249280311894,3239.007754063425,FEMALE
Adelie,Torgersen,41.5,18.3,196.3605144956895,4289.422949973383,MALE
Adelie,Torgersen,39.0,17.1,192.60450775906375,3034.713393565625,FEMALE
Adelie,Torgersen,44.1,18.0,210.31308917029622,4010.8367245209733,MALE
Adelie,Torgersen,38.5,17.9,189.69396915538346,3374.1746541720945,FEMALE
Adelie,Torgersen,43.1,19.2,196.82190382403107,3577.2421936029723,MALE
Adelie,Dream,36.8,18.5,192.8468066667991,3430.9782828086372,FEMALE
Adelie,Dream,37.5,18.5,198.99808681163304,4521.909647557794,MALE
Adelie,Dream,38.1,17.6,186.68881598384525,3315.1441018746154,FEMALE
Adelie,Dream,41.1,17.5,190.96489638634324,3860.654214097054,MALE
Adelie,Dream,35.6,17.5,188.88865373703266,3159.9722538642063,FEMALE
Adelie,Dream,40.2,20.1,199.65421755740434,3970.232010640975,MALE
Adelie,Dream,37.0,16.5,184.51392312066693,3421.243002240685,FEMALE
Adelie,Dream,39.7,17.9,193.6140693366694,4189.783895963059,MALE
Adelie,Dream,40.2,17.1,192.7533321820502,3295.82093691955,FEMALE
Adelie,Dream,40.6,17.2,188.9421072422718,3472.0583078172203,MALE
Adelie,Dream,32.1,15.5,188.437377132562,3046.3465398683743,FEMALE
Adelie,Dream,40.7,17.0,189.07846685752995,3757.396484351139,MALE
Adelie,Dream,37.3,16.8,190.9897591007298,3073.2834088468367,FEMALE
Adelie,Dream,39.0,18.7,184.95383624648076,3648.1499537765862,MALE
Adelie,Dream,39.2,18.6,189.83654511527706,4174.111672490261,MALE
Adelie,Dream,36.6,18.4,182.50663357531573,3476.694792532819,FEMALE
Adelie,Dream,36.0,17.8,194.60502320161476,3368.871110395561,FEMALE
Adelie,Dream,37.8,18.1,194.4995227908273,3778.129254537651,MALE
Adelie,Dream,36.0,17.1,187.98638742403284,3812.6267480628094,FEMALE
Adelie,Dream,41.5,18.5,200.78170849231,4004.7986148707682,MALE
Chinstrap,Dream,46.5,17.9,190.99479180492776,3486.884526213278,FEMALE
Chinstrap,Dream,50.0,19.5,195.36032061594005,3845.171028294271,MALE
Chinstrap,Dream,51.3,19.2,193.92598905146465,3793.3485857125474,MALE
Chinstrap,Dream,45.4,18.7,188.38417008687844,3587.9633998077943,FEMALE
Chinstrap,Dream,52.7,19.8,197.69015852912398,3635.613703876087,MALE
Chinstrap,Dream,45.2,17.8,200.29753381307518,3956.5564526153444,FEMALE
Chinstrap,Dream,46.1,18.2,178.5598691771799,3243.4057590709995,FEMALE
Chinstrap,Dream,51.3,18.2,196.78186327087113,3815.5610408304638,MALE
Chinstrap,Dream,46.0,18.9,194.40529032796763,4195.363966925673,FEMALE
Chinstrap,Dream,51.3,19.9,195.38009820276272,3765.59833911757,MALE
Chinstrap,Dream,46.6,17.8,192.96754743589202,3818.4656759889513,FEMALE
Chinstrap,Dream,51.7,20.3,194.8788211861445,3759.587396852966,MALE
Chinstrap,Dream,47.0,17.3,185.4182010629664,3702.7038493684277,FEMALE
Chinstrap,Dream,52.0,18.1,200.64080783135591,4004.13033410492,MALE
Chinstrap,Dream,45.9,17.1,188.69023255220978,3597.6181043471515,FEMALE
Chinstrap,Dream,50.5,19.6,199.5031461448277,4079.8177227271376,MALE
Chinstrap,Dream,50.3,20.0,196.41869690683146,3271.39773313886,MALE
Chinstrap,Dream,58.0,17.8,181.17595656480765,3661.294444600888,FEMALE
Chinstrap,Dream,46.4,18.6,189.67980639036318,3425.726149153526,FEMALE
Chinstrap,Dream,49.2,18.2,195.07074590745665,4347.4132294864385,MALE
Chinstrap,Dream,42.4,17.3,181.37154688842068,3550.4530048594474,FEMALE
Chinstrap,Dream,48.5,17.5,191.85213747126437,3478.5005383820653,MALE
Chinstrap,Dream,43.2,16.6,187.2723767106514,2899.8100987341,FEMALE
Chinstrap,Dream,50.6,19.4,193.31948523912362,3790.1268889423172,MALE
Chinstrap,Dream,46.7,17.9,193.1162864248781,3340.2284202813426,FEMALE
Chinstrap,Dream,52.0,19.0,195.9801411102604,4132.854453255061,MALE
Chinstrap,Dream,50.5,18.4,201.5701900399686,3334.4326014257676,FEMALE
Chinstrap,Dream,49.5,19.0,199.67141474035984,3741.3024890283887,MALE
Chinstrap,Dream,46.4,17.8,190.1113378792512,3663.190031745175,FEMALE
Chinstrap,Dream,52.8,20.0,203.98921568231094,4534.035650062768,MALE
Chinstrap,Dream,40.9,16.6,187.25191593476865,3178.2781261696196,FEMALE
Chinstrap,Dream,54.2,20.8,200.0561866533555,4331.4040260257025,MALE
Chinstrap,Dream,42.5,16.7,186.6655772706601,3393.3969330008563,FEMALE
Chinstrap,Dream,51.0,18.8,201.54081415085224,4059.8917560950167,MALE
Chinstrap,Dream,49.7,18.6,195.11646229781542,3573.384901257452,MALE
Chinstrap,Dream,47.5,16.8,198.04300135216587,3875.1705358499676,FEMALE
Chinstrap,Dream,47.6,18.3,194.18736132126446,3882.3296934297696,FEMALE
Chinstrap,Dream,52.0,20.7,209.8874025698072,4805.8626495545805,MALE
Chinstrap,Dream,46.9,16.6,191.75607941992965,2748.4654320838536,FEMALE
Chinstrap,Dream,53.5,19.9,203.31752260046645,4432.755468781321,MALE
Chinstrap,Dream,49.0,19.5,211.24858860011065,3887.263142988844,MALE
Chinstrap,Dream,46.2,17.5,185.9662913115544,3614.455962504792,FEMALE
Chinstrap,Dream,50.9,19.1,197.2410377752233,3552.519015104187,MALE
Chinstrap,Dream,45.5,17.0,196.95089673936778,3576.1789186753495,FEMALE
Chinstrap,Dream,50.9,17.9,197.273505726953,3685.521812092268,FEMALE
Chinstrap,Dream,50.8,18.5,200.93615736559192,4488.130557395234,MALE
Chinstrap,Dream,50.1,17.9,190.04839915559086,3434.7700035417597,FEMALE
Chinstrap,Dream,49.0,19.6,211.22072501707592,4408.935684604882,MALE
Chinstrap,Dream,51.5,18.7,186.61223482278163,3221.7948390604897,MALE
Chinstrap,Dream,49.8,17.3,198.03983210122865,3629.9702805145143,FEMALE
Chinstrap,Dream,48.1,16.4,200.79151682124984,3389.0760228859854,FEMALE
Chinstrap,Dream,51.4,19.0,202.4658808479537,3911.447405484932,MALE
Chinstrap,Dream,45.7,17.3,193.4718013021191,3595.247873881447,FEMALE
Chinstrap,Dream,50.7,19.7,203.93742849233513,3991.4029307952433,MALE
Chinstrap,Dream,42.5,17.3,184.80644555115987,3377.8426441820006,FEMALE
Chinstrap,Dream,52.2,18.8,198.12840213088228,3454.415725186906,MALE
Chinstrap,Dream,45.2,16.6,189.70325399481632,3318.635778189876,FEMALE
Chinstrap,Dream,49.3,19.9,201.71156730038444,3989.867607631616,MALE
Chinstrap,Dream,50.2,18.8,201.43166911782245,3847.6275469615034,MALE
Chinstrap,Dream,45.6,19.4,192.73108039015386,3558.1999651361366,FEMALE
Chinstrap,Dream,51.9,19.5,205.76686353837647,3946.9963973979975,MALE
Chinstrap,Dream,46.8,16.5,190.21597430047814,3687.368302741277,FEMALE
Chinstrap,Dream,45.7,17.0,193.13512618569945,3582.6878943413335,FEMALE
Chinstrap,Dream,55.8,19.8,209.2837572454619,4026.6627670930166,MALE
Chinstrap,Dream,43.5,18.1,198.93824788588603,3388.8169800948144,FEMALE
Chinstrap,Dream,49.6,18.2,195.13917222389315,3802.049805800213,MALE
Chinstrap,Dream,50.8,19.0,209.98476351274448,4154.4204968634185,MALE
Chinstrap,Dream,50.2,18.7,200.12153972356802,3818.4452355201934,FEMALE
Gentoo,Biscoe,46.1,13.2,210.5271724613909,4461.726329930334,FEMALE
Gentoo,Biscoe,50.0,16.3,230.33551454015995,5699.9072057774765,MALE
Gentoo,Biscoe,48.7,14.1,208.77034128844141,4410.124506345231,FEMALE
Gentoo,Biscoe,50.0,15.2,216.4792525174591,5617.498938854988,MALE
Gentoo,Biscoe,47.6,14.5,213.31660612652627,5389.29802199027,MALE
Gentoo,Biscoe,46.5,13.5,210.1324466266076,4523.985230958386,FEMALE
Gentoo,Biscoe,45.4,14.6,212.4387690482186,4808.880231115183,FEMALE
Gentoo,Biscoe,46.7,15.3,218.95653255221524,5219.620747373383,MALE
Gentoo,Biscoe,43.3,13.4,209.30513987933207,4403.152887071015,FEMALE
Gentoo,Biscoe,46.8,15.4,213.33559540691286,5152.52427592372,MALE
Gentoo,Biscoe,40.9,13.7,215.7345974122026,4663.837463543621,FEMALE
Gentoo,Biscoe,49.0,16.1,216.64010551251135,5485.278656455167,MALE
Gentoo,Biscoe,45.5,13.7,214.08168706464477,4617.805460073252,FEMALE
Gentoo,Biscoe,48.4,14.6,213.8274739086023,5823.87600272774,MALE
Gentoo,Biscoe,45.8,14.6,209.3065523026509,4213.146610643699,FEMALE
Gentoo,Biscoe,49.3,15.7,216.12926971489446,5896.606183603428,MALE
Gentoo,Biscoe,42.0,13.5,211.528011948552,4263.962249419916,FEMALE
Gentoo,Biscoe,49.2,15.2,220.71351669726954,6265.344446513879,MALE
Gentoo,Biscoe,46.2,14.5,209.00707511454348,4844.282344955753,FEMALE
Gentoo,Biscoe,48.7,15.1,223.08921837875496,5269.766854598924,MALE
Gentoo,Biscoe,50.2,14.3,217.5214535549571,5654.464379275751,MALE
Gentoo,Biscoe,45.1,14.5,214.07348165357834,5086.397052908971,FEMALE
Gentoo,Biscoe,46.5,14.5,214.81002247369568,4307.913198535796,FEMALE
Gentoo,Biscoe,46.3,15.8,213.91729757619822,5010.882813155198,MALE
Gentoo,Biscoe,42.9,13.1,214.3235096244148,5018.775597751028,FEMALE
Gentoo,Biscoe,46.1,15.1,214.9317777077602,5115.0442402572335,MALE
Gentoo,Biscoe,44.5,14.3,215.93283735891194,4113.1323907553415,
Gentoo,Biscoe,47.8,15.0,215.7733347977743,5722.258983591488,MALE
Gentoo,Biscoe,48.2,14.3,212.68849496536888,4647.037625852795,FEMALE
Gentoo,Biscoe,50.0,15.3,218.17009903802654,5538.633634484971,MALE
Gentoo,Biscoe,47.3,15.3,223.72102478916835,5310.972635329825,MALE
Gentoo,Biscoe,42.8,14.2,209.70252635796433,4649.108725535141,FEMALE
Gentoo,Biscoe,45.1,14.5,207.42145274193774,5043.569064931209,FEMALE
Gentoo,Biscoe,59.6,17.0,230.04023491351083,6025.901547124544,MALE
Gentoo,Biscoe,49.1,14.8,218.8224879608254,5140.3816037793695,FEMALE
Gentoo,Biscoe,48.4,16.3,220.93119953468042,5301.222476174116,MALE
Gentoo,Biscoe,42.6,13.7,213.74321788381,4889.124424071952,FEMALE
Gentoo,Biscoe,44.4,17.3,217.49410702102963,5258.773175397631,MALE
Gentoo,Biscoe,44.0,13.6,207.33126441722845,4331.708992833844,FEMALE
Gentoo,Biscoe,48.7,15.7,208.74710657895884,5247.191483253135,MALE
Gentoo,Biscoe,42.7,13.7,207.62465420943903,3902.786128617715,FEMALE
Gentoo,Biscoe,49.6,16.0,224.8238250644953,5770.280299647854,MALE
Gentoo,Biscoe,45.3,13.7,209.71783301970717,4242.470678444416,FEMALE
Gentoo,Biscoe,49.6,15.0,214.71695098741768,4741.236139742435,MALE
Gentoo,Biscoe,50.5,15.9,222.13829353564626,5569.06374181658,MALE
Gentoo,Biscoe,43.6,13.9,218.33234394905907,4844.538904934676,FEMALE
Gentoo,Biscoe,45.5,13.9,210.81110396466133,4249.083259929896,FEMALE
Gentoo,Biscoe,50.5,15.9,227.28060457925937,5392.244094128496,MALE
Gentoo,Biscoe,44.9,13.3,214.01124519997407,5144.452911391886,FEMALE
Gentoo,Biscoe,45.2,15.8,216.8144682330635,5227.475550511813,MALE
Gentoo,Biscoe,46.6,14.2,209.69752288151153,4851.622043389955,FEMALE
Gentoo,Biscoe,48.5,14.1,219.33443853717725,5314.566091399481,MALE
Gentoo,Biscoe,45.1,14.4,209.60399827673191,4389.490425765818,FEMALE
Gentoo,Biscoe,50.1,15.0,224.56239739364906,4975.307933368909,MALE
Gentoo,Biscoe,46.5,14.4,217.53431684198392,4967.387074308342,FEMALE
Gentoo,Biscoe,45.0,15.4,220.56469043662548,5016.208882645172,MALE
Gentoo,Biscoe,43.8,13.9,209.29455140330805,4302.0767467889455,FEMALE
Gentoo,Biscoe,45.5,15.0,221.79844452111746,4971.869495903323,MALE
Gentoo,Biscoe,43.2,14.5,207.3416151124536,4461.589850273922,FEMALE
Gentoo,Biscoe,50.4,15.3,223.2089288360932,5595.685392005713,MALE
Gentoo,Biscoe,45.3,13.8,207.61178326895939,4212.140622484883,FEMALE
Gentoo,Biscoe,46.2,14.9,220.0442707658978,5247.563795608867,MALE
Gentoo,Biscoe,45.7,13.9,214.96274324689128,4393.612790688465,FEMALE
Gentoo,Biscoe,54.3,15.7,231.30008060843505,5620.566997968121,MALE
Gentoo,Biscoe,45.8,14.2,218.26014794299445,4701.82998916713,FEMALE
Gentoo,Biscoe,49.8,16.8,229.51410941169803,5728.890150065725,MALE
Gentoo,Biscoe,46.2,14.4,212.84198875583337,4610.238385390522,
Gentoo,Biscoe,49.5,16.2,229.2539914283954,5836.12041259661,MALE
Gentoo,Biscoe,43.5,14.2,220.10739915366523,4717.1061507476115,FEMALE
Gentoo,Biscoe,50.7,15.0,223.89623573733553,5638.887921385226,MALE
Gentoo,Biscoe,47.7,15.0,214.29200762474852,4808.585203145709,FEMALE
Gentoo,Biscoe,46.4,15.6,222.12809908388363,4981.601454578347,MALE
Gentoo,Biscoe,48.2,15.6,220.99267832519502,5057.415098309596,MALE
Gentoo,Biscoe,46.5,14.8,215.0237102533793,5166.828555298445,FEMALE
Gentoo,Biscoe,46.4,15.0,217.62019791221942,4582.075974258029,FEMALE
Gentoo,Biscoe,48.6,16.0,229.9150267724687,5817.665583945447,MALE
Gentoo,Biscoe,47.5,14.2,210.14877733748952,4664.42290986814,FEMALE
Gentoo,Biscoe,51.1,16.3,219.73210724303615,6009.33988466353,MALE
Gentoo,Biscoe,45.2,13.8,215.1929049070316,4833.187777604884,FEMALE
Gentoo,Biscoe,45.2,16.4,225.03833589148675,5959.809727895675,MALE
Gentoo,Biscoe,49.1,14.5,211.23478445602842,4675.7436837200285,FEMALE
Gentoo,Biscoe,52.5,15.6,221.1123181044887,5466.607628104508,MALE
Gentoo,Biscoe,47.4,14.6,210.4681607730084,4867.684734724625,FEMALE
Gentoo,Biscoe,50.0,15.9,224.10318188048333,5355.409869142376,MALE
Gentoo,Biscoe,44.9,13.8,212.26246794288272,4701.151977520795,FEMALE
Gentoo,Biscoe,50.8,17.3,228.52045663949482,5633.711182533065,MALE
Gentoo,Biscoe,43.4,14.4,219.41289061629152,4510.994058027316,FEMALE
Gentoo,Biscoe,51.3,14.2,217.9415818262285,5363.573045188453,MALE
Gentoo,Biscoe,47.5,14.0,212.36742301408208,4958.293653684454,FEMALE
Gentoo,Biscoe,52.1,17.0,230.67941327578907,5607.654872540196,MALE
Gentoo,Biscoe,47.5,15.0,218.59036981655245,4964.17312205215,FEMALE
Gentoo,Biscoe,52.2,17.1,228.4009962054295,5411.099524598638,MALE
Gentoo,Biscoe,45.5,14.5,213.85133579382668,4830.580821863476,FEMALE
Gentoo,Biscoe,49.5,16.1,224.6430478039783,5610.272720924391,MALE
Gentoo,Biscoe,44.5,14.7,214.5904217246208,4880.169201696618,FEMALE
Gentoo,Biscoe,50.8,15.7,226.24500698420502,5285.124489510702,MALE
Gentoo,Biscoe,49.4,15.8,215.86393313223905,4968.606045833582,MALE
Gentoo,Biscoe,46.9,14.6,222.55791504742677,4855.846233700432,FEMALE
Gentoo,Biscoe,48.4,14.4,203.01714158249573,4604.735008219039,FEMALE
Gentoo,Biscoe,51.1,16.5,224.8107151416524,5339.855378379951,MALE
Gentoo,Biscoe,48.5,15.0,218.22123672001462,4947.585807777427,FEMALE
Gentoo,Biscoe,55.9,17.0,228.36003225303818,5563.129594805901,MALE
Gentoo,Biscoe,47.2,15.5,215.8885254576899,4916.495051098788,FEMALE
Gentoo,Biscoe,49.1,15.0,227.1328560589255,5496.038826925182,MALE
Gentoo,Biscoe,47.3,13.8,217.53996797788184,4826.969067989413,
Gentoo,Biscoe,46.8,16.1,214.30101474477362,5528.927114845928,MALE
Gentoo,Biscoe,41.7,14.7,209.63898870661637,4740.375899596086,FEMALE
Gentoo,Biscoe,53.4,15.8,220.56047900830254,5425.477555592645,MALE
Gentoo,Biscoe,43.3,14.0,208.2954193921231,4571.851300316419,FEMALE
Gentoo,Biscoe,48.1,15.1,209.37227991961223,5508.529923663461,MALE
Gentoo,Biscoe,50.5,15.2,215.96724084037865,4965.090249121611,FEMALE
Gentoo,Biscoe,49.8,15.9,229.72098403397555,6010.576714034948,MALE
Gentoo,Biscoe,43.5,15.2,213.02567169916307,4590.199186839566,FEMALE
Gentoo,Biscoe,51.5,16.3,230.53686946759524,5470.553312672054,MALE
Gentoo,Biscoe,46.2,14.1,217.31767472806746,4332.944103525791,FEMALE
Gentoo,Biscoe,55.1,16.0,228.86229321210985,5884.880778436467,MALE
Gentoo,Biscoe,44.5,15.7,216.29539875819813,4900.88183740365,
Gentoo,Biscoe,48.8,16.2,222.62963280938595,6110.94491342724,MALE
Gentoo,Biscoe,47.2,13.7,214.3304493677591,4908.2121531305165,FEMALE
Gentoo,Biscoe,,,,,
Gentoo,Biscoe,46.8,14.3,213.9345403312236,4861.675863232733,FEMALE
Gentoo,Biscoe,50.4,15.7,222.0344879054979,5737.670109241317,MALE
Gentoo,Biscoe,45.2,14.8,214.1163556190084,5190.0632022203345,FEMALE
Gentoo,Biscoe,49.9,16.1,213.909493304711,5376.955128790374,MALE
Adelie,Torgersen,39.1,18.7,182.40874106210285,3864.557672423101,MALE
Adelie,Torgersen,39.5,17.4,185.61086003453295,3795.8334473090663,FEMALE
Adelie,Torgersen,40.3,18.0,195.08647439631488,3198.631172470344,FEMALE
